,Gold_Close,Gold_Volume,Oil_Close,Oil_Volume,Gas_Close,Gas_Volume,VIX,FED,PMI,Michi,Unemploy
2017-09-15,1320.4000244140625,15.0,55.619998931884766,22004.0,3.0239999294281006,144121.0,10.170000076293945,1.15,52.8,95.1,4.3
2017-09-16,1320.4000244140625,15.0,55.619998931884766,22004.0,3.0239999294281006,144121.0,10.170000076293945,1.15,52.8,95.1,4.3
2017-09-17,1320.4000244140625,15.0,55.619998931884766,22004.0,3.0239999294281006,144121.0,10.170000076293945,1.15,52.8,95.1,4.3
2017-09-18,1306.300048828125,129.0,55.47999954223633,23767.0,3.1459999084472656,209884.0,10.149999618530273,1.15,52.8,95.1,4.3
2017-09-19,1306.199951171875,20.0,55.13999938964844,19337.0,3.121999979019165,156610.0,10.180000305175781,1.15,52.8,95.1,4.3
2017-09-20,1312.0,12.0,56.290000915527344,27031.0,3.0940001010894775,172959.0,9.779999732971191,1.15,52.8,95.1,4.3
2017-09-21,1290.5999755859375,336.0,56.43000030517578,23549.0,2.946000099182129,271675.0,9.670000076293945,1.15,52.8,95.1,4.3
2017-09-22,1293.300048828125,209.0,56.86000061035156,18348.0,2.9590001106262207,109531.0,9.59000015258789,1.15,52.8,95.1,4.3
2017-09-23,1293.300048828125,209.0,56.86000061035156,18348.0,2.9590001106262207,109531.0,9.59000015258789,1.15,52.8,95.1,4.3
2017-09-24,1293.300048828125,209.0,56.86000061035156,18348.0,2.9590001106262207,109531.0,9.59000015258789,1.15,52.8,95.1,4.3
2017-09-25,1306.800048828125,51.0,59.02000045776367,23811.0,2.9189999103546143,73229.0,10.210000038146973,1.15,52.8,95.1,4.3
2017-09-26,1297.0,39.0,58.439998626708984,28328.0,2.9179999828338623,54994.0,10.170000076293945,1.15,52.8,95.1,4.3
2017-09-27,1283.4000244140625,19488.0,57.900001525878906,15305.0,2.9739999771118164,195939.0,9.869999885559082,1.15,52.8,95.1,4.3
2017-09-28,1285.5,5226.0,57.40999984741211,7005.0,3.0169999599456787,192444.0,9.550000190734863,1.15,52.8,95.1,4.3
2017-09-29,1281.5,492.0,57.540000915527344,917.0,3.006999969482422,117984.0,9.510000228881836,1.15,52.8,95.1,4.3
2017-09-30,1281.5,492.0,57.540000915527344,917.0,3.006999969482422,117984.0,9.510000228881836,1.15,52.8,95.1,4.3
2017-10-01,1281.5,492.0,57.540000915527344,917.0,3.006999969482422,117984.0,9.510000228881836,1.15,53.1,100.7,4.2
2017-10-02,1272.699951171875,136.0,57.459999084472656,19371.0,2.9159998893737793,251481.0,9.449999809265137,1.15,53.1,100.7,4.2
2017-10-03,1271.5,192.0,56.0,21948.0,2.8949999809265137,151617.0,9.510000228881836,1.15,53.1,100.7,4.2
2017-10-04,1273.699951171875,218.0,55.79999923706055,25898.0,2.940000057220459,160561.0,9.630000114440918,1.15,53.1,100.7,4.2
2017-10-05,1269.9000244140625,36.0,57.0,32050.0,2.9230000972747803,180003.0,9.1899995803833,1.15,53.1,100.7,4.2
2017-10-06,1271.5999755859375,46.0,55.619998931884766,33642.0,2.86299991607666,226636.0,9.649999618530273,1.15,53.1,100.7,4.2
2017-10-07,1271.5999755859375,46.0,55.619998931884766,33642.0,2.86299991607666,226636.0,9.649999618530273,1.15,53.1,100.7,4.2
2017-10-08,1271.5999755859375,46.0,55.619998931884766,33642.0,2.86299991607666,226636.0,9.649999618530273,1.15,53.1,100.7,4.2
